iter	Passed	Remaining
0	116	116368
1	158	79196
2	197	65635
3	238	59310
4	278	55388
5	318	52795
6	358	50822
7	398	49386
8	437	48193
9	476	47183
10	515	46387
11	554	45627
12	594	45145
13	634	44716
14	674	44280
15	711	43769
16	748	43280
17	784	42816
18	821	42396
19	858	42079
20	896	41779
21	938	41730
22	975	41424
23	1013	41220
24	1051	40993
25	1093	40971
26	1135	40919
27	1176	40841
28	1220	40872
29	1267	40993
30	1314	41096
31	1354	40988
32	1393	40843
33	1430	40646
34	1471	40560
35	1513	40517
36	1553	40436
37	1594	40364
38	1635	40296
39	1675	40202
40	1715	40137
41	1755	40050
42	1794	39947
43	1835	39887
44	1875	39808
45	1916	39739
46	1955	39651
47	1996	39597
48	2034	39486
49	2073	39399
50	2111	39297
51	2150	39209
52	2191	39156
53	2235	39158
54	2294	39418
55	2331	39308
56	2368	39186
57	2405	39066
58	2442	38961
59	2479	38837
60	2515	38727
61	2552	38620
62	2589	38512
63	2626	38407
64	2662	38298
65	2697	38176
66	2733	38067
67	2769	37960
68	2805	37858
69	2841	37756
70	2877	37647
71	2912	37534
72	2949	37455
73	2986	37367
74	3025	37316
75	3062	37237
76	3101	37176
77	3138	37100
78	3177	37044
79	3214	36971
80	3256	36942
81	3306	37021
82	3346	36974
83	3384	36907
84	3422	36841
85	3460	36774
86	3499	36722
87	3536	36655
88	3574	36590
89	3612	36528
90	3650	36461
91	3688	36402
92	3726	36345
93	3764	36287
94	3807	36268
95	3845	36209
96	3882	36146
97	3927	36152
98	3967	36110
99	4008	36078
100	4047	36023
101	4084	35955
102	4121	35892
103	4158	35824
104	4196	35765
105	4233	35706
106	4270	35639
107	4307	35576
108	4345	35524
109	4385	35479
110	4422	35416
111	4458	35352
112	4497	35300
113	4536	35255
114	4572	35191
115	4611	35145
116	4650	35098
117	4687	35034
118	4725	34982
119	4761	34920
120	4797	34854
121	4834	34795
122	4872	34738
123	4910	34690
124	4946	34624
125	4987	34593
126	5025	34543
127	5061	34479
128	5098	34422
129	5135	34367
130	5172	34310
131	5208	34247
132	5245	34195
133	5282	34140
134	5322	34105
135	5362	34068
136	5402	34031
137	5441	33986
138	5480	33949
139	5520	33910
140	5560	33872
141	5600	33837
142	5640	33801
143	5679	33759
144	5720	33729
145	5759	33689
146	5799	33654
147	5841	33626
148	5879	33582
149	5918	33538
150	5956	33491
151	5994	33445
152	6034	33404
153	6073	33362
154	6110	33312
155	6147	33258
156	6183	33203
157	6220	33150
158	6256	33092
159	6292	33034
160	6328	32979
161	6364	32923
162	6403	32880
163	6445	32854
164	6485	32818
165	6526	32788
166	6569	32769
167	6607	32724
168	6648	32689
169	6690	32665
170	6736	32659
171	6781	32644
172	6826	32634
173	6865	32593
174	6903	32544
175	6942	32504
176	6981	32460
177	7017	32405
178	7053	32349
179	7087	32289
180	7125	32240
181	7161	32189
182	7198	32138
183	7233	32080
184	7270	32028
185	7307	31980
186	7345	31936
187	7383	31890
188	7419	31838
189	7456	31790
190	7494	31742
191	7531	31693
192	7568	31648
193	7605	31597
194	7641	31545
195	7678	31497
196	7714	31444
197	7749	31390
198	7786	31341
199	7821	31286
200	7857	31234
201	7894	31187
202	7930	31137
203	7967	31089
204	8007	31053
205	8043	31003
206	8079	30953
207	8116	30906
208	8153	30858
209	8189	30809
210	8225	30758
211	8261	30707
212	8296	30654
213	8331	30601
214	8367	30551
215	8404	30506
216	8440	30454
217	8475	30402
218	8511	30355
219	8547	30304
220	8582	30253
221	8619	30206
222	8655	30156
223	8690	30107
224	8726	30058
225	8762	30010
226	8800	29969
227	8837	29924
228	8874	29877
229	8910	29831
230	8946	29782
231	8983	29739
232	9020	29694
233	9056	29646
234	9092	29599
235	9131	29560
236	9166	29510
237	9202	29462
238	9237	29413
239	9274	29369
240	9310	29323
241	9346	29275
242	9383	29232
243	9421	29190
244	9458	29147
245	9494	29100
246	9530	29055
247	9566	29008
248	9602	28963
249	9640	28920
250	9676	28874
251	9712	28828
252	9747	28781
253	9784	28737
254	9821	28694
255	9858	28650
256	9894	28605
257	9936	28577
258	9972	28532
259	10010	28492
260	10047	28448
261	10085	28409
262	10121	28363
263	10159	28322
264	10197	28284
265	10240	28256
266	10280	28223
267	10321	28191
268	10360	28154
269	10400	28118
270	10439	28082
271	10477	28043
272	10516	28004
273	10554	27966
274	10592	27926
275	10632	27891
276	10670	27850
277	10707	27809
278	10748	27776
279	10789	27745
280	10829	27708
281	10865	27665
282	10902	27621
283	10939	27579
284	10976	27536
285	11012	27492
286	11048	27447
287	11084	27402
288	11120	27359
289	11156	27315
290	11193	27272
291	11230	27229
292	11268	27189
293	11304	27145
294	11341	27103
295	11378	27063
296	11415	27021
297	11454	26982
298	11492	26944
299	11530	26904
300	11567	26863
301	11603	26819
302	11639	26775
303	11676	26732
304	11713	26691
305	11749	26648
306	11788	26611
307	11824	26567
308	11860	26523
309	11896	26480
310	11933	26437
311	11969	26393
312	12005	26351
313	12042	26308
314	12078	26264
315	12113	26219
316	12149	26176
317	12186	26135
318	12222	26092
319	12258	26049
320	12294	26007
321	12331	25965
322	12367	25922
323	12404	25880
324	12439	25836
325	12477	25796
326	12513	25753
327	12550	25712
328	12585	25668
329	12622	25627
330	12659	25586
331	12695	25543
332	12731	25502
333	12768	25460
334	12805	25419
335	12841	25377
336	12877	25335
337	12914	25294
338	12950	25252
339	12987	25211
340	13023	25169
341	13060	25128
342	13096	25086
343	13132	25043
344	13169	25002
345	13205	24961
346	13242	24920
347	13278	24877
348	13314	24835
349	13350	24793
350	13386	24750
351	13421	24708
352	13459	24668
353	13496	24628
354	13532	24586
355	13568	24545
356	13604	24504
357	13641	24462
358	13677	24421
359	13714	24380
360	13750	24339
361	13787	24300
362	13824	24259
363	13862	24220
364	13899	24181
365	13934	24138
366	13971	24098
367	14010	24061
368	14046	24019
369	14082	23979
370	14119	23939
371	14156	23898
372	14193	23858
373	14229	23817
374	14265	23775
375	14302	23736
376	14339	23695
377	14375	23654
378	14414	23617
379	14450	23577
380	14486	23536
381	14522	23494
382	14558	23453
383	14595	23413
384	14631	23371
385	14668	23332
386	14705	23293
387	14742	23253
388	14779	23214
389	14815	23172
390	14851	23131
391	14888	23092
392	14924	23051
393	14960	23010
394	14998	22972
395	15034	22931
396	15069	22889
397	15105	22848
398	15141	22807
399	15177	22765
400	15214	22726
401	15251	22687
402	15287	22646
403	15324	22607
404	15361	22567
405	15397	22528
406	15433	22487
407	15470	22446
408	15507	22408
409	15543	22367
410	15579	22327
411	15615	22286
412	15651	22245
413	15687	22205
414	15725	22167
415	15762	22127
416	15800	22089
417	15835	22048
418	15872	22009
419	15910	21971
420	15946	21930
421	15982	21891
422	16019	21851
423	16055	21810
424	16090	21769
425	16126	21729
426	16162	21689
427	16199	21650
428	16236	21611
429	16273	21571
430	16309	21531
431	16345	21490
432	16381	21450
433	16416	21409
434	16454	21371
435	16491	21332
436	16527	21293
437	16563	21252
438	16599	21212
439	16637	21175
440	16676	21139
441	16718	21106
442	16760	21073
443	16802	21040
444	16843	21007
445	16884	20972
446	16924	20937
447	16964	20903
448	17003	20866
449	17044	20832
450	17084	20797
451	17124	20761
452	17165	20727
453	17206	20692
454	17247	20659
455	17288	20624
456	17328	20589
457	17367	20553
458	17406	20516
459	17446	20480
460	17486	20445
461	17526	20410
462	17563	20371
463	17600	20331
464	17636	20291
465	17672	20251
466	17710	20213
467	17750	20178
468	17791	20143
469	17836	20113
470	17902	20107
471	17943	20071
472	17985	20038
473	18025	20002
474	18064	19966
475	18103	19929
476	18143	19893
477	18183	19856
478	18222	19820
479	18262	19784
480	18301	19747
481	18341	19711
482	18381	19674
483	18420	19637
484	18459	19601
485	18496	19562
486	18533	19523
487	18570	19483
488	18612	19449
489	18653	19414
490	18694	19380
491	18738	19347
492	18778	19311
493	18819	19276
494	18860	19241
495	18902	19207
496	18944	19172
497	18983	19136
498	19024	19100
499	19064	19064
500	19103	19027
501	19146	18993
502	19185	18956
503	19223	18918
504	19261	18879
505	19298	18841
506	19337	18803
507	19376	18766
508	19413	18726
509	19451	18688
510	19489	18650
511	19527	18612
512	19569	18577
513	19610	18541
514	19649	18505
515	19689	18468
516	19728	18430
517	19767	18393
518	19814	18364
519	19854	18327
520	19895	18291
521	19937	18257
522	19980	18223
523	20022	18188
524	20063	18152
525	20104	18117
526	20145	18081
527	20186	18045
528	20227	18009
529	20267	17973
530	20308	17937
531	20346	17898
532	20382	17858
533	20418	17818
534	20454	17778
535	20491	17738
536	20530	17701
537	20571	17665
538	20608	17626
539	20644	17586
540	20681	17546
541	20717	17506
542	20753	17466
543	20790	17426
544	20825	17386
545	20860	17345
546	20897	17306
547	20934	17266
548	20970	17227
549	21006	17187
550	21042	17147
551	21079	17107
552	21115	17067
553	21152	17028
554	21188	16989
555	21225	16949
556	21262	16910
557	21298	16870
558	21335	16831
559	21370	16791
560	21408	16752
561	21444	16712
562	21480	16673
563	21516	16633
564	21553	16594
565	21589	16554
566	21626	16515
567	21664	16477
568	21701	16437
569	21737	16398
570	21773	16358
571	21810	16319
572	21845	16279
573	21881	16239
574	21918	16200
575	21954	16161
576	21995	16124
577	22036	16088
578	22075	16051
579	22114	16014
580	22150	15974
581	22187	15935
582	22223	15895
583	22259	15855
584	22298	15818
585	22334	15779
586	22370	15739
587	22407	15700
588	22444	15661
589	22480	15621
590	22516	15582
591	22552	15543
592	22588	15503
593	22624	15463
594	22661	15424
595	22697	15385
596	22734	15346
597	22771	15307
598	22808	15269
599	22846	15230
600	22883	15192
601	22919	15152
602	22956	15113
603	22993	15075
604	23035	15039
605	23072	15000
606	23108	14961
607	23144	14922
608	23181	14883
609	23224	14848
610	23260	14809
611	23297	14770
612	23334	14731
613	23372	14693
614	23407	14653
615	23444	14614
616	23481	14575
617	23518	14537
618	23554	14498
619	23598	14463
620	23639	14427
621	23679	14390
